Device_Name,IP_Address,Frequency,,,,,,
4093 Crane C9 .96,10.4.93.96,None,,,,,,
4093 Crane C9 .95,10.4.93.95,915,,,,,,
4093 Crane C9 .94,10.4.93.94,906,,,,,,
4093 Crane C9 .93,10.4.93.93,924,,,,,,
4093 Crane C9 .92,10.4.93.92,915,,,,,,
4093 Crane C9 .91,10.4.93.91,906,,,,,,
4093 Crane RM5 .51,10.4.93.51,5240,,,,,,
4093 Crane NBM365 .32,10.4.93.32,3666,,,,,,
4093 Crane RM365 .31,10.4.93.31,3656,,,,,,
4093 Crane C2 .20,10.4.93.20,2415,,,,,,
4091 Union City C9 .95,10.4.91.95,906,,,,,,
4091 Union City C9 .94,10.4.91.94,None,,,,,,
4091 Union City C9 .93,10.4.91.93,915,,,,,,
4091 Union City C9 .92,10.4.91.92,906,,,,,,
4091 Union City C2 .25,10.4.91.25,2457,,,,,,
4091 Union City C2 .23,10.4.91.23,2437,,,,,,
4091 Union City C2 .22,10.4.91.22,2457,,,,,,
4091 Union City C2 .20,10.4.91.20,2415,,,,,,
4009 Billings C9 .96,10.4.9.96,906,,,,,,
4009 Billings C9 .90,10.4.9.90,915,,,,,,
4009 Billings PBEM5 .56,10.4.9.56,5760,,,,,,
4009 Billings C2 .26,10.4.9.26,2415,,,,,,
4009 Billings C2 .25,10.4.9.25,2437,,,,,,
4009 Billings C2 .24,10.4.9.24,2415,,,,,,
4009 Billings C2 .23,10.4.9.23,2437,,,,,,
4009 Billings C2 .22,10.4.9.22,2457,,,,,,
4009 Billings C2 .21,10.4.9.21,2437,,,,,,
4084 Holiday Island C9+ .94,10.4.84.94,924.5,,,,,,
4084 Holiday Island NSM365 .31,10.4.84.31,3661,,,,,,
4084 Holiday Island C2 .20,10.4.84.20,2450,,,,,,
4077 Harvest Hill C9+ .99,10.4.77.99,905.5,,,,,,
4077 Harvest Hill C9 .94,10.4.77.94,906,,,,,,
4077 Harvest Hill C9+ .93,10.4.77.93,923,,,,,,
4077 Harvest Hill C9 .91,10.4.77.91,915,,,,,,
4077 Harvest Hill RM2 .20,10.4.77.20,2412,,,,,,
