Equipment_Name,MAC,IP,Device_Category,Device_Type,Notes,Status_Check,SNMP_Community,SNMP_Version,Network_Location_ID
4093 Crane C9 .96,0A:00:3E:91:07:89,10.4.93.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C9 .95,0A:00:3E:96:18:F6,10.4.93.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C9 .94,0A:00:3E:90:5E:B3,10.4.93.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C9 .93,0A:00:3E:92:21:FE,10.4.93.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C9 .92,0A:00:3E:90:46:D6,10.4.93.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C9 .91,0A:00:3E:92:0B:DF,10.4.93.91,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane RM5 .51,44:D9:E7:DF:6D:72,10.4.93.51,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,157
4093 Crane NBM365 .32,68:72:51:45:37:7F,10.4.93.32,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,157
4093 Crane RM365 .31,24:A4:3C:F7:7C:3D,10.4.93.31,Access Point,Ubiquiti AP,,ICMP and SNMP,!highspeed,1,157
4093 Crane RTR,00:00:00:00:00:0A,10.4.93.254,Router,Mikrotik Router,,ICMP and SNMP,!highspeed,2,157
4093 Crane C2 .20,0A:00:3E:27:A9:C7,10.4.93.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,157
4093 Crane UPS,00:00:00:00:00:0A,10.4.93.15,UPS,DuraComm RMCU UPS,,ICMP and SNMP,!highspeed,2,157
4093 Crane C5 .131,0A:00:3E:39:62:81,10.4.93.131,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,157
4093 Crane C5 .130,0A:00:3E:39:62:B2,10.4.93.130,Backhaul,Cambium PTP,,ICMP and SNMP,!highspeed,2,157
4093 Crane SiteMonitor,00:00:00:00:00:0A,10.4.93.10,Sync Timing,PacketFlux SiteMonitor,,ICMP and SNMP,!highspeed,2,157
4091 Union City C9 .95,0A:00:3E:92:6B:1E,10.4.91.95,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C9 .94,0A:00:3E:90:8D:EE,10.4.91.94,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C9 .93,0A:00:3E:92:76:23,10.4.91.93,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C9 .92,0A:00:3E:91:C1:8A,10.4.91.92,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C2 .25,0A:00:3E:23:A1:B6,10.4.91.25,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C2 .23,0A:00:3E:23:A1:BF,10.4.91.23,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C2 .22,0A:00:3E:23:A0:AB,10.4.91.22,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City C2 .20,0A:00:3E:26:1C:AD,10.4.91.20,Access Point,Cambium PMP100 LOS AP,,ICMP and SNMP,!highspeed,2,155
4091 Union City UPS,00:00:00:00:00:0A,10.4.91.15,UPS,APC UPS,,ICMP and SNMP,!highspeed,2,155
4091 Union City NBM5 .131,68:72:51:31:E3:56,10.4.91.131,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,155
4091 Union City NBM5 .130,68:72:51:37:AA:78,10.4.91.130,Backhaul,Ubiquiti PTP,,ICMP and SNMP,!highspeed,1,155
4091 Union City CMM,00:00:00:00:00:0A,10.4.91.11,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,155
4091 Union City CMM,00:00:00:00:00:0A,10.4.91.10,Sync Timing,Cambium CMM,,ICMP and SNMP,!highspeed,2,155
4009 Billings C9 .96,0A:00:3E:90:2C:77,10.4.9.96,Access Point,Cambium PMP100 NON-LOS AP,,ICMP and SNMP,!highspeed,2,11
