 1001 Republic W               |
| 1002 Republic                 |
| 1003 Puckett                  |
| 1004 Wentworth                |
| 1005 Cartwright               |
| 1006 Hwy F                    |
| 1007 Crighton                 |
| 1008 RELAYs                   |
| 1010 Skylight Farm            |
| 1011 Farm Rd 97               |
| 1012 Marionville              |
| 1013 Zinnia Rd                |
| 1014 Ash Grove                |
| 1015 Glidewell                |
| 1016 Old Coup                 |
| 1017 McKinley                 |
| 1018 High Point               |
| 1019 Big Cat                  |
| 1020 Main St Feeds            |
| 1022 Ross Rd                  |
| 1023 Hayfield                 |
| 1024 Greene Hills             |
| 1025 Positronic               |
| 1029 Everton                  |
| 1036 Bois DArc                |
| 1037 Tyson Feed               |
| 1039 Verona                   |
| 1040 Ham                      |
| 1041 AgForte                  |
| 1042 Monett E                 |
| 1043 Monett N                 |
| 1044 Pierce City              |
| 1045 Freistatt                |
| 1046 Stotts City              |
| 1049 Wright Verona            |
| 1056 Cox Hospital             |
| 1057 Morrisville              |
| 1058 Austin                   |
| 1069 Bolivar                  |
| 1076 Farm Rd 35               |
| 1098 Willard                  |
| 1116 Sarcoxie                 |
| 1118 Shield                   |
| 1126 Paris Springs            |
| 1130 Somer Lane               |
| 1132 Oak Leaf Lane            |
| 1134 Hwy HH                   |
| 1139 Republic Brick           |
| 1152 Walnut Grove W           |
| 1154 Farm Road 53             |
| 1156 Hwy 97                   |
| 1162 Mt Vernon                |
| 1170 Springfield W            |
| 1179 Neumeier                 |
| 1253 Monett Jail Gateway      |
| 2001 Captain Morgan           |
| 2002 Missouri Park Campground |
| 2003 Pool House               |
| 2004 Camelot Circle           |
| 2005 Fossil Rock Lane         |
| 2006 Lakeland Dr              |
| 2007 Clouse                   |
| 2008 RELAYs                   |
| 2009 Shaggy Dog               |
| 2010 Perfect Spot             |
| 2011 Dartmoore Dr             |
| 2012 Farm Rd 231              |
| 2013 County E                 |
| 2014 Windsor Oaks             |
| 2015 Matney Hollow            |
| 2016 Foxtail                  |
| 2017 Chapel Hill              |
| 2018 Strafford                |
| 2019 Conway                   |
| 2020 Old Wire Rd              |
| 2021 Red Brick                |
| 2022 Little Buffalo           |
| 2023 Sweethearts              |
| 2024 Heritage Rd              |
| 2025 Trio                     |
| 2026 Seymour                  |
| 2027 Zarks                    |
| 2028 Stairstep                |
| 2029 Rogersville NW           |
| 2030 Bassville                |
| 2031 Hwy BB                   |
| 2032 Normal                   |
| 2033 Hwy Y                    |
| 2034 Rogersville Scripps      |
| 2035 Little Forrest           |
| 2036 Grisham                  |
| 2037 Mayapple                 |
| 2038                          |
| 2039 Westwind                 |
| 2040 Dag Knab It              |
| 2041 Hwy KK                   |
| 2042 White Oak Rd             |
| 2043 Deep Woods               |
| 2061 Hay Sales                |
| 2063 Odin                     |
| 2065 Sloan                    |
| 2068 Feemster                 |
| 2070 Elkland                  |
| 2071 Fordland                 |
| 2072 Ebenezer                 |
| 2073 Double D                 |
| 2074 Hammons                  |
| 2075 KBFL                     |
| 2078 Sleeper                  |
| 2079 Oakland                  |
| 2080 Eldridge                 |
| 2081 KJEL                     |
| 2082 KTTK                     |
| 2083 Vanguard                 |
| 2085 Cabool                   |
| 2086 Kings Mtn                |
| 2087 Laclede PWSD #1          |
| 2088 Cabool N                 |
| 2089 Silver Bell              |
| 2090 JE                       |
| 2092 Niangua                  |
| 2095 Mtn View                 |
| 2096 Boys Ranch               |
| 2097 Diggins                  |
| 2103 Country Stop             |
| 2112 Plaza Tower              |
| 2117 Hwy J                    |
| 2128 Grace Chapel Well        |
| 2131 65A                      |
| 2133 Highland Springs         |
| 2136 Fair Grove               |
| 2141 Silo Ridge               |
| 2143 Forrest Hill Lane        |
| 2149 Howell Co N              |
| 2150 Beech Lane               |
| 2151 Camp Arrowhead           |
| 2155 Rusty Rd                 |
| 2157 Northview                |
| 2158 Tri County Line          |
| 2161 Phillipsburg             |
| 2163 Buffalo NW               |
| 2167 Seymour N                |
| 2168 Long Lane                |
| 2240 McCartney Substation     |
| 2248 Springfield Underground  |
| 2250 Sho-Me Gateway           |
| 2252 SpringNet Gateway        |
| 3001 Peck Hill                |
| 3002 Olga                     |
| 3003 Twin Oaks                |
| 3004 Nixa                     |
| 3005 Squires                  |
| 3006 Highlandville            |
| 3007 Cabool S                 |
| 3008 RELAYs                   |
| 3009 Temple Hill              |
| 3010 Ozark                    |
| 3011 Stoneshire               |
| 3012 Green Box                |
| 3013 Olathia                  |
| 3014 Ranch Road               |
| 3015 Masters Transport        |
| 3016 Miller Farms             |
| 3017 Race Track               |
| 3022 Ava                      |
| 3023 Mtn Grove                |
| 3024 Mansfield                |
| 3025 Rogersville              |
| 3032 Frosty                   |
| 3035 Macomb                   |
| 3062 Aquawells                |
| 3066 Mansfield SW             |
| 3094 Hwy W                    |
| 3099 Woods                    |
| 3100 Vacation Channel         |
| 3101 Branson Creek            |
