211,1001 Republic W
7,1002 Republic
280,1003 Puckett
261,1004 Wentworth
275,1005 Cartwright
268,1006 Hwy F
44,1007 Crighton
230,1008 RELAYs
252,1010 Skylight Farm
285,1011 Farm Rd 97
13,1012 Marionville
286,1013 Zinnia Rd
15,1014 Ash Grove
16,1015 Glidewell
287,1016 Old Coup
18,1017 McKinley
288,1018 High Point
289,1019 Big Cat
29,1020 Main St Feeds
263,1022 Ross Rd
267,1023 Hayfield
269,1024 Greene Hills
271,1025 Positronic
37,1029 Everton
42,1036 Bois DArc
43,1037 Tyson Feed
45,1039 Verona
46,1040 Ham
48,1041 AgForte
47,1042 Monett E
49,1043 Monett N
50,1044 Pierce City
51,1045 Freistatt
52,1046 Stotts City
55,1049 Wright Verona
62,1056 Cox Hospital
63,1057 Morrisville
64,1058 Austin
133,1069 Bolivar
140,1076 Farm Rd 35
162,1098 Willard
180,1116 Sarcoxie
182,1118 Shield
190,1126 Paris Springs
194,1130 Somer Lane
196,1132 Oak Leaf Lane
198,1134 Hwy HH
207,1139 Republic Brick
217,1152 Walnut Grove W
219,1154 Farm Road 53
223,1156 Hwy 97
235,1162 Mt Vernon
248,1170 Springfield W
245,1179 Neumeier
203,1253 Monett Jail Gateway
253,2001 Captain Morgan
257,2002 Missouri Park Campground
290,2003 Pool House
291,2004 Camelot Circle
292,2005 Fossil Rock Lane
293,2006 Lakeland Dr
294,2007 Clouse
295,2008 RELAYs
296,2009 Shaggy Dog
297,2010 Perfect Spot
262,2011 Dartmoore Dr
298,2012 Farm Rd 231
14,2013 County E
299,2014 Windsor Oaks
277,2015 Matney Hollow
300,2016 Foxtail
260,2017 Chapel Hill
19,2018 Strafford
28,2019 Conway
301,2020 Old Wire Rd
302,2021 Red Brick
258,2022 Little Buffalo
303,2023 Sweethearts
304,2024 Heritage Rd
305,2025 Trio
35,2026 Seymour
36,2027 Zarks
306,2028 Stairstep
307,2029 Rogersville NW
38,2030 Bassville
308,2031 Hwy BB
282,2032 Normal
309,2033 Hwy Y
279,2034 Rogersville Scripps
265,2035 Little Forrest
266,2036 Grisham
264,2037 Mayapple
283,2038
274,2039 Westwind
310,2040 Dag Knab It
311,2041 Hwy KK
312,2042 White Oak Rd
329,2043 Deep Woods
125,2061 Hay Sales
127,2063 Odin
129,2065 Sloan
132,2068 Feemster
134,2070 Elkland
135,2071 Fordland
136,2072 Ebenezer
137,2073 Double D
138,2074 Hammons
139,2075 KBFL
142,2078 Sleeper
143,2079 Oakland
144,2080 Eldridge
145,2081 KJEL
146,2082 KTTK
147,2083 Vanguard
149,2085 Cabool
150,2086 Kings Mtn
151,2087 Laclede PWSD #1
152,2088 Cabool N
153,2089 Silver Bell
154,2090 JE
156,2092 Niangua
159,2095 Mtn View
160,2096 Boys Ranch
161,2097 Diggins
167,2103 Country Stop
176,2112 Plaza Tower
181,2117 Hwy J
192,2128 Grace Chapel Well
195,2131 65A
197,2133 Highland Springs
204,2136 Fair Grove
212,2141 Silo Ridge
209,2143 Forrest Hill Lane
249,2149 Howell Co N 
210,2150 Beech Lane
233,2151 Camp Arrowhead
220,2155 Rusty Rd
227,2157 Northview
241,2158 Tri County Line
234,2161 Phillipsburg
236,2163 Buffalo NW
224,2167 Seymour N
225,2168 Long Lane
6,2240 McCartney Substation
200,2248 Springfield Underground
216,2250 Sho-Me Gateway
202,2252 SpringNet Gateway
251,3001 Peck Hill
256,3002 Olga
8,3003 Twin Oaks
2,3004 Nixa
314,3005 Squires
4,3006 Highlandville
315,3007 Cabool S
322,3008 RELAYs
316,3009 Temple Hill
5,3010 Ozark
12,3011 Stoneshire
313,3012 Green Box
276,3013 Olathia
281,3014 Ranch Road
317,3015 Masters Transport
17,3016 Miller Farms
254,3017 Race Track
31,3022 Ava
32,3023 Mtn Grove
33,3024 Mansfield
34,3025 Rogersville
26,3032 Frosty
41,3035 Macomb
27,3062 Aquawells
130,3066 Mansfield SW
20,3094 Hwy W
163,3099 Woods
164,3100 Vacation Channel
165,3101 Branson Creek
166,3102 Windmill
168,3104 Twin Island Estates
169,3105 Twin Island Shpng Cntr
172,3108 Green Forest
174,3110 Branson W N
186,3122 Jamboraz
193,3129 Lakeview Lookout
206,3135 Spring Hill Rd
208,3142 Branson W Walmart
23,3145 West Plains
213,3148 Howell Co S
218,3153 Blue Eye Morningside
239,3160 Hwy AK14
237,3164 Ava SW
238,3177 Shoe Factory
244,3178
250,3180 Ava Hwy 76
255,4001 Able Road
284,4002 Garner 
270,4003 Turbine Relay
318,4004 Hwy 173
9,4005 Riverfork
319,4006 Kings River
10,4007 Clever
321,4008 RELAYs
11,4009 Billings
320,4010 Reavisville
323,4011 New Horizon
259,4012 Weeping Willow
324,4013 Carnation Dr
325,4014 Hwy P
278,4015 Highlandville Scripps
326,4016 Easyville
327,4018 Richwood
328,4019 Martzmount
330,4020 BOBB
30,4021 SW CU
24,4028 Stonegate
39,4031 Island Green
40,4033 Aurora
25,4034 Delaware Town
53,4047 Connectel
54,4048 Monett S
56,4050 Lowes
57,4051 Purdy
58,4052 Butterfield
59,4053 Cassville
60,4054 Wheaton
61,4055 Smith
65,4059 Staiger
21,4060 Hootentown
272,4063 Fun in the Son
128,4064 Flat Creek
131,4067 Hwy ZZ
22,4077 Harvest Hill
148,4084 Holiday Island
155,4091 Union City
157,4093 Crane
170,4106 Lampe
171,4107 Emerald Beach
173,4109 Oak Grove
175,4111 Burk
177,4113 Golden
178,4114 Shell Knob
179,4115 The Oaks
183,4119 Rocky Top
184,4120 Ranch Run A Muck
185,4121 Tablerock Healthcare
187,4123 Draper
188,4124 Reeds Spring
189,4125 Cape Fair
191,4127 Black Oak Mtn
205,4137 Haseltine Rd
199,4138 Falcon
3,4140 Possum Trot
222,4144 Spitfire
242,4146 Maples Silo
215,4147 Blue Eye
246,4159 Abesville
226,4165 Hurley
221,4166 Jamesville
228,4169 TT39
231,4171 Fairview
232,4172 Exeter
243,4173 McCord Bend
240,4175 Turkey
229,4176 Dam
273,4181 Gugel
247,4247 Nixa Office
214,4249 Nixa Office Suite 4
1,4251 Nixa Office Gateway
